fac_1164|Dummy first line
fac_id_1|无 派 系 
fac_id_2|平 民 
fac_id_3|不 法 之 徒 
fac_id_4|中 立 者 
fac_id_5|无 辜 者 
fac_id_6|商 人 
fac_id_29|玩 家 阵 营 
fac_id_30|玩 家 支 持 者
fac_id_31|西 格 玛 帝 国 
fac_id_32|矮 人 
fac_id_33|高 等 精 灵 
fac_id_34|混 沌 矮 人 
fac_id_35|混 沌 勇 士 
fac_id_36|古 墓 诸 王 
fac_id_37|大 计 划 守 护 者 
fac_id_38|夜 地 精 
fac_id_39|阿 拉 比 苏 丹 国 
fac_id_40|绿 皮 兽 人 
fac_id_41|巴 托 尼 亚 王 国 
fac_id_42|黑 暗 精 灵 
fac_id_43|斯 卡 文 鼠 人 
fac_id_44|基 斯 里 夫 
fac_id_45|野 兽 人 
fac_id_46|尼 朋 殖 民 地 
fac_id_47|西 尔 瓦 尼 亚 
fac_id_48|艾 索 罗 伦 
fac_id_49|吸 血 鬼 海 岸 
fac_id_54|赏 金 猎 人 
fac_id_55|逃 兵
fac_id_56|山 贼 
fac_id_57|森 林 强 盗
fac_id_58|入 侵 者 
fac_id_59|入 侵 者 
fac_id_60|海 盗
