hint_1164|Dummy first line
hint_1|只 能 从 其 他 王 国 招 募 同 种 族 的 领 主。
hint_2|在 城 镇 学 习 魔 法，至 少 需 要 1点 魔 法 控 制。
hint_3|冠 军 模 式 可 让 你 在 战 斗 中 控 制 一 名 同 伴；玩 家 与 同 伴 各 获 得 一 半 经 验。
hint_4|与 竞 技 场 大 师 交 谈，可 以 学 习 闪 避、无 视 痛 苦 等 特 殊 战 斗 能 力。
hint_5|在 自 有 城 镇 建 造 战 争 学 院 后，每 周 可 获 得 大 型 或 特 殊 部 队。
hint_6|法 师 可 在 酒 馆 中 招 募。
hint_7|地 牢 中 的 敌 人 大 约 每 周 重 新 出 现 一 次。
hint_8|非 战 斗 状 态 下 按 住 左 Alt键 即 可 冲 刺。
hint_9|战 斗 中 按 Backspace键 可 打 开 指 挥 界 面，即 使 玩 家 已 经 倒 下。
hint_10|招 募 现 有 领 主，需 要 良 好 关 系、较 高 声 望，以 及 足 够 的 荣 誉 或 恶 名。
hint_11|酒 馆 中 的 流 浪 药 剂 商 可 以 治 疗 中 毒。
hint_12|可 在 营 地 的“采 取 行 动”菜 单 中 设 定 王 国 兵 种 与 文 化。
hint_13|每 层 地 牢 都 藏 有 一 只 战 利 品 宝 箱，最 深 处 另 有 特 殊 奖 励。
hint_14|以“你 终 于 来 了……”迎 接 你 的 同 伴，并 非 独 一 无 二 的 特 殊 同 伴。
hint_15|据 说 帝 国 的 一 座 城 市 中 藏 有 宝 藏……
hint_16|面 对 随 机 事 件 时 务 必 慎 重 选 择：大 多 数 事 件 独 一 无 二，无 法 再 次 触 发。
hint_17|任 务 场 景 中，可 按 K、J键 切 换 药 水，按 H键 饮 用 当 前 选 中 的 药 水。
hint_18|任 务 场 景 中，可 按 B、V键 切 换 法 术，按 N键 查 看 当 前 法 术 的 信 息。
