ip_1164|Dummy first line
ip_morale|士 气 /恐 惧
ip_morale_text|战 剑 征 服 士 气 说 明：^^善 用 能 够 引 发 恐 惧 的 法 术 与 效 果，往 往 足 以 扭 转 战 局。^^某 些 单 位 会 令 敌 人 恐 惧，使 其 士 气 更 快 瓦 解。^^亡 灵、恶 魔 等 部 队 不 会 在 战 斗 中 溃 逃。
ip_economy|工 坊
ip_economy_text|战 剑 征 服 经 济 说 明：^^建 造 过 多 相 同 类 型 的 工 坊，会 让 对 应 商 品 充 斥 市 场，进 而 压 低 工 坊 利 润。
ip_courtship|婚 姻
ip_courtship_text|战 剑 征 服 婚 姻 说 明：^^婚 姻 并 非 本 模 组 重 点 支 持 的 功 能，但 仍 有 可 能 达 成。^^酒 馆 诗 人 已 经 移 除。
ip_politics|招 募 领 主
ip_politics_text|玩 家 只 能 招 募 与 自 身 种 族 或 文 化 相 同、且 关 系 良 好 的 领 主。此 外，还 需 要 较 高 的 声 望，以 及 足 够 的 荣 誉 或 恶 名；传 奇 领 主 尤 其 难 以 招 募。^^向 同 伴 授 予 封 地，可 以 将 其 册 封 为 领 主。
ip_military_campaigns|派 系 与 种 族 限 制
ip_military_campaigns_text|在 战 剑 世 界 中，许 多 事 务 会 受 到 种 族 或 文 化 限 制，例 如：^-哪 些 领 主 能 够 被 招 入 你 自 己 的 王 国。^-若 与 相 应 派 系 或 领 主 关 系 不 佳，便 无 法 招 募 其 他 文 化 的 村 民。^-不 同 同 伴 的 雇 佣 费 用 会 有 所 增 减。^-领 主 与 派 系 对 你 的 初 始 态 度。^-你 能 够 使 用 的 装 备。^-你 能 够 学 习 的 魔 法 学 派（如 适 用）。^-其 他 特 殊 机 制，例 如 矮 人 符 文 铁 匠、蜥 人 神 殿 或 恐 虐 混 沌 印 记。^-白 昼 潜 入 城 堡 或 城 镇。^^各 派 系 还 被 划 分 为 若 干 文 化 群 体；同 一 文 化 群 体 在 部 分 领 域 不 受 限 制。例 如，矮 人 可 以 招 募 人 类 村 民。
ip_combat_skills|特 殊 战 斗 能 力
ip_combat_skills_text|特 殊 战 斗 能 力 是《战 剑 征 服》特 有 的 战 斗 机 制。多 数 能 力 可 以 向 竞 技 场 大 师 支 付 金 币 学 习，价 格 会 因 种 族 而 异。^^闪 避：有 几 率 完 全 避 开 攻 击，不 受 任 何 伤 害。闪 避 几 率 取 决 于 跑 动、敏 捷，以 及 力 量 与 负 重 的 比 例。敏 捷 越 高，可 闪 避 的 远 程 武 器 种 类 越 多；玩 家 的 武 器 掌 握 还 可 降 低 敌 方 闪 避 几 率。^^无 视 痛 苦：根 据 铁 骨 等 级 吸 收 伤 害。基 础、进 阶 和 大 师 级 无 视 痛 苦 每 点 铁 骨 分 别 吸 收 4%、6%和 8%的 伤 害。^^强 力 一 击：近 战 命 中 后 有 几 率 造 成 额 外 伤 害，伤 害 加 成 取 决 于 强 击 等 级。^^守 护 豁 免：受 到 攻 击 时 进 行 D6检 定；结 果 达 到 或 高 于 守 护 豁 免 值 时，完 全 免 受 该 次 攻 击。可 向 光 明 使 者 赛 勒 斯 购 买，初 始 为 6+，通 常 最 高 可 购 买 至 4+；部 分 法 术 和 魔 法 物 品 还 能 提 供 更 高 等 级。^^再 生：随 时 间 恢 复 生 命 值。蜥 人 可 在 守 护 者 神 殿 购 买，兽 人 可 从 光 明 使 者 赛 勒 斯 处 购 买 巨 魔 皮 护 甲；拥 有 再 生 的 单 位 会 受 到 额 外 火 焰 伤 害。^^灵 体：提 供 6+物 理 豁 免。可 通 过 不 稳 定 药 水 获 得；吸 血 鬼 施 法 者 也 可 借 助 灵 体 法 术 获 得。^^魔 法 抗 性：遭 受 有 害 魔 法 时 进 行 D6检 定；结 果 达 到 或 高 于 魔 法 抗 性 值 时，完 全 不 受 该 魔 法 效 果 影 响。6+、5+、4+分 别 约 为 16%、33%、50%几 率，最 高 可 达 2+。^^永 不 溃 败：拥 有 此 特 性 的 部 队 不 会 在 战 斗 中 溃 逃，也 不 会 因 士 气 低 落 而 逃 离 队 伍。
ip_magic|魔 法 
ip_magic_text|学 习 魔 法 至 少 需 要 1点 魔 法 控 制；矮 人 进 入 符 文 锻 造 或 守 护 者 神 殿 则 需 要 500声 望。达 到 条 件 后，前 往 能 够 教 授 目 标 学 派 的 派 系 城 镇；部 分 派 系 与 学 派 还 受 种 族 或 性 别 限 制。^^拥 有 至 少 1点 魔 法 控 制 并 到 访 相 应 城 镇 后，城 镇 菜 单 顶 部 会 出 现 魔 法 行 会。你 可 在 那 里 了 解 能 够 学 习 的 学 派、学 派 法 术 与 学 派 特 性，并 在 选 择 学 派 后 提 高 魔 法 抗 性、购 买 法 术 和 相 关 物 品。^^更 详 尽 的 说 明 可 在 各 魔 法 学 派 菜 单 或 战 剑 征 服 Wiki中 查 阅。
ip_hotkeys|热 键 
