imod_1164|Dummy first line
imod_plain|普 通 的 %s
imod_cracked|裂 开 的 %s
imod_rusty|生 锈 的 %s
imod_bent|弯 曲 的 %s
imod_chipped|有 缺 口 的 %s
imod_battered|凹 损 的 %s
imod_poor|劣 质 的 %s
imod_crude|粗 糙 的 %s
imod_old|陈 旧 的 %s
imod_cheap|廉 价 的 %s
imod_fine|优 质 的 %s
imod_well_made|做 工 精 良 的 %s
imod_sharp|锋 利 的 %s
imod_balanced|平 衡 的 %s
imod_tempered|淬 炼 的 %s
imod_deadly|致 命 的 %s
imod_exquisite|精 致 的 %s
imod_masterwork|一 流 的 %s
imod_heavy|沉 重 的 %s
imod_strong|强 韧 的 %s
imod_powerful|强 力 的 %s
imod_tattered|褴 褛 的 %s
imod_ragged|破 旧 的 %s
imod_rough|粗 糙 的 %s
imod_sturdy|坚 固 的 %s
imod_thick|厚 实 的 %s
imod_hardened|硬 化 的 %s
imod_reinforced|加 固 的 %s
imod_superb|上 等 的 %s
imod_lordly|华 贵 的 %s
imod_lame|跛 脚 的 %s
imod_swaybacked|塌 背 的 %s
imod_stubborn|倔 强 的 %s
imod_timid|胆 小 的 %s
imod_meek|温 顺 的 %s
imod_spirited|活 泼 的 %s
imod_champion|冠 军 级 的 %s
imod_fresh|新 鲜 的 %s
imod_day_old|隔 夜 的 %s
imod_two_day_old|隔 两 夜 的 %s
imod_smelling|发 臭 的 %s
imod_rotten|腐 烂 的 %s
imod_large_bag|大 袋 装 的 %s
