p_1164|Dummy first line
p_id_23|禅 达 
p_id_24|萨 图 沙 
p_id_25|卡 隆 德 · 卡 尔 
p_id_26|玛 丽 恩 堡 
p_id_27|特 兰 克 斯 
p_id_28|葛 罗 姆 峰 
p_id_29|穆 席 隆 
p_id_30|塔 兰 克 斯 拉 
p_id_31|卡 拉 克 · 卡 德 林 
p_id_32|永 恒 峰 
p_id_33|血 角 山 
p_id_34|卡 拉 克 · 号 角 堡 
p_id_35|米 拉 格 连 诺 
p_id_36|努 恩 
p_id_37|卡 拉 克 · 龙 崖 堡 
p_id_38|布 理 奥 涅 
p_id_39|克 拉 卡 隆 德 
p_id_40|钢 铁 岩 
p_id_41|魔 鼠 废 都 
p_id_42|喀 穆 里 
p_id_43|赞 迪 里 
p_id_44|卡 · 萨 拜 
p_id_45|玛 泰 克 
p_id_46|塔 拉 贝 海 姆 
p_id_47|阿 尔 道 夫 
p_id_48|米 登 海 姆 
p_id_49|塔 尔 · 伊 瑞 斯 
p_id_50|洛 瑟 恩 
p_id_51|塔 尔 · 安 列 克 
p_id_52|戈 斯 拉 尔 
p_id_53|哥 隆 尼 
p_id_54|瓦 纳 海 姆 
p_id_55|拉 新 科 
p_id_56|朽 毒 桩 
p_id_57|基 斯 里 夫 
p_id_58|阿 克 雷 夫 
p_id_59|纳 迦 隆 德 
p_id_60|普 拉 格 
p_id_61|巨 角 城 
p_id_62|渠 港 
p_id_63|滩 崎 
p_id_64|福 岛 
p_id_65|巨 拳 城 
p_id_66|颅 骨 营 地 
p_id_67|邓 肯 霍 夫 
p_id_68|瓦 登 霍 夫 
p_id_69|君 王 林 
p_id_70|阿 格 维 隆 
p_id_71|贝 查 芬 
p_id_72|大 奥 格 姆 
p_id_73|末 日 舰 
p_id_74|斯 兰 雾 佩 克 
p_id_75|伊 塔 扎 
p_id_76|赫 斯 欧 塔 
p_id_77|盐 沼 镇 
p_id_78|斯 特 罗 马 斯 特 德 
p_id_79|剑 刃 湾 
p_id_80|帕 拉 翁 
p_id_81|黑 爪 巢 
p_id_82|沃 查 兹 要 塞 
p_id_83|卢 西 尼 
p_id_84|瓦 瑞 诺 
p_id_85|扎 慧 特 克 
p_id_86|卡 拉 克 · 荒 芜 堡 
p_id_87|塞 森 蒙 德 
p_id_88|勒 · 安 古 朗 
p_id_89|阿 纳 海 姆 要 塞 
p_id_90|哈 尔 · 冈 西 
p_id_91|艾 维 海 姆 
p_id_92|塞 特 奎 
p_id_93|克 莱 特 堡 
p_id_94|沃 尔 芬 堡 
p_id_95|吉 索 莱 奥 
p_id_96|扭 曲 毒 牙 要 塞 
p_id_97|卡 拉 克 · 铜 山 堡 
p_id_98|卡 拉 克 · 铁 峰 堡 
p_id_99|瑞 克 禁 卫 堡 
p_id_100|蒙 特 福 特 
