pt_1164|Dummy first line
pt_id_1|无 
pt_id_2|获 救 囚 犯 
pt_id_3|敌 人 
pt_id_4|英 雄 部 队 
pt_id_5|商 队
pt_id_6|不 显 眼 的 旅 行 者 
pt_id_7|普 通 的 市 民 
pt_id_8|献 祭 信 使 
pt_id_9|信 使 
pt_id_10|劫 掠 队
pt_id_11|运 俘 队 
pt_id_12|征 粮 队 
pt_id_13|侦 察 队 
pt_id_14|巡 逻 队 
pt_id_15|被 绑 架 的 仆 人
pt_id_16|先 驱 者 马 尔 德 雷 克 斯 
pt_id_17|村 庄 卫 队 
pt_id_18|村 民 
pt_id_19|村 民 
pt_id_20|村 民 
pt_id_21|村 民 
pt_id_22|村 民 
pt_id_23|村 民 
pt_id_24|村 民 
pt_id_25|村 民 
pt_id_26|村 民 
pt_id_27|村 民 
pt_id_28|村 民 
pt_id_29|村 民 
pt_id_30|村 民 
pt_id_31|村 民 
pt_id_32|村 民 
pt_id_33|村 民 
pt_id_34|村 民 
pt_id_35|村 民 
pt_id_36|村 民 
pt_id_37|村 民 
pt_id_38|村 民
pt_id_39|农 民
pt_id_40|逃 跑 的 农 奴 
pt_id_41|牛 群 
pt_id_42|混 沌 狂 热 者 
pt_id_43|私 掠 者
pt_id_44|亡 灵 
pt_id_45|阴 牙 森 林 地 精
pt_id_46|海 盗 抓 丁 队
pt_id_47|海 盗 抓 丁 队
pt_id_48|亡 灵
pt_id_49|沙 漠 掠 夺 者 
pt_id_50|亚 马 逊 掠 夺 者
pt_id_51|猎 人 强 盗
pt_id_52|沙 漠 强 盗
pt_id_53|森 林 地 精 战 团 
pt_id_54|斯 卡 文 海 盗
pt_id_55|斯 卡 文 海 盗 
pt_id_56|爬 行 死 亡 森 林 地 精
pt_id_57|巨 魔 国 度 掠 夺 者
pt_id_58|海 盗 抓 丁 队
pt_id_59|忍 者 
pt_id_60|血 羽 森 林 地 精
pt_id_61|森 林 地 精 军 队
pt_id_62|忍 者 
pt_id_63|亡 灵 
pt_id_64|森 林 地 精 
pt_id_65|海 盗 
pt_id_66|海 盗 
pt_id_67|亡 灵 
pt_id_68|沙 漠 强 盗 
pt_id_69|亚 马 逊 掠 夺 者
pt_id_70|强 盗 
pt_id_71|沙 漠 强 盗 
pt_id_72|森 林 地 精 
pt_id_73|斯 卡 文 海 盗 
pt_id_74|斯 卡 文 海 盗 
pt_id_75|森 林 地 精 
pt_id_76|巨 魔 
pt_id_77|海 盗 
pt_id_78|忍 者 
pt_id_79|森 林 地 精 
pt_id_80|森 林 地 精 
pt_id_81|纳 垢 吞 噬 者
pt_id_82|恐 虐 死 亡 使 者
pt_id_83|恐 虐 死 亡 使 者
pt_id_84|恶 魔 军 团 
pt_id_85|恶 魔 军 团 
pt_id_86|食 人 魔 碎 颅 者
pt_id_87|海 盗 掠 夺 者
pt_id_88|海 盗 掠 夺 者
pt_id_89|蝎 子 氏 族
pt_id_90|蝎 子 氏 族
pt_id_91|作 乱 强 盗
pt_id_92|等 待 赎 金 的 强 盗 
pt_id_93|被 俘 的 掠 夺 者
pt_id_94|商 队 
pt_id_95|普 通 俘 虏
pt_id_96|逃 兵
pt_id_97|溃 军 
pt_id_98|增 援 部 队 
pt_id_99|战 团 
pt_id_100|皇 家 商 队 
pt_id_327|绑 匪 藏 身 处 
pt_id_328|亡 灵 墓 穴
pt_id_329|阴 牙 地 精 巢 穴
pt_id_330|海 盗 巢 穴 
pt_id_331|海 盗 巢 穴 
pt_id_332|亡 灵 墓 穴
pt_id_333|沙 漠 掠 夺 者 巢 穴 
pt_id_334|亚 马 逊 强 盗 营 地
pt_id_335|不 法 强 盗 营 地
pt_id_336|沙 漠 强 盗 巢 穴
pt_id_337|黑 毒 地 精 营 地
pt_id_338|斯 卡 文 海 盗 巢 穴
pt_id_339|斯 卡 文 海 盗 巢 穴 
