skl_1164|Dummy first line
skl_id|交 易 
skl_id_desc|每 级 使 交 易 惩 罚 降 低 5%%。（队 伍 技 能）
skl_id_1|统 御 
skl_id_1_desc|每 点 增 加 6名 部 队 上 限，提 高 队 伍 士 气，并 使 部 队 薪 资 降 低 5%%。（领 袖 技 能）
skl_id_2|俘 虏 管 理 
skl_id_2_desc|俘 虏 上 限 等 于 部 队 规 模 除 以 10，再 乘 以 俘 虏 管 理 等 级；最 低 上 限 为 技 能 等 级 的 2.5倍。（领 袖 技 能）
skl_id_3|意 志 力
skl_id_3_desc|提 高 负 伤 后 参 加 后 续 战 斗 阶 段 的 几 率。施 法 者 可 按 M键 集 中 意 志，使 下 一 次 施 法 获 得 加 成，并 绕 过 1点 负 重 惩 罚；每 场 战 斗 可 使 用 次 数 有 限。矮 人 的 魔 法 抗 性 每 2点 意 志 力 提 高 一 级；每 点 意 志 力 还 会 增 加 2点 统 治 权。
skl_id_4|预 留 技 能 2
skl_id_4_desc|这 是 一 个 预 留 技 能。
skl_id_5|预 留 技 能 3
skl_id_5_desc|这 是 一 个 预 留 技 能。
skl_id_6|预 留 技 能 4
skl_id_6_desc|这 是 一 个 预 留 技 能。
skl_id_7|说 服 力 
skl_id_7_desc|使 他 人 更 容 易 接 受 你 的 观 点，并 降 低 说 服 NPC按 你 的 意 愿 行 事 所 需 的 最 低 关 系 值。（个 人 技 能）
skl_id_8|工 程 学 
skl_id_8_desc|提 高 攻 城 器 械 和 封 地 设 施 的 建 造 效 率。（队 伍 技 能）
skl_id_9|急 救 
skl_id_9_desc|每 级 使 英 雄 在 战 斗 结 束 后 恢 复 本 场 战 斗 中 损 失 生 命 值 的 5%%。（队 伍 技 能）
skl_id_10|手 术 
skl_id_10_desc|每 点 提 供 4%%几 率，使 受 到 致 命 打 击 的 队 伍 成 员 仅 仅 负 伤，而 不 是 阵 亡。（队 伍 技 能）
skl_id_11|疗 伤 
skl_id_11_desc|每 级 使 队 伍 治 疗 速 度 提 高 20%%。（队 伍 技 能）
skl_id_12|物 品 管 理 
skl_id_12_desc|每 级 增 加 6格 物 品 栏 容 量。（领 袖 技 能）
skl_id_13|侦 察 
