trp_1164|Dummy first line
trp_id_2|联 机 男 性 玩 家 角 色 
trp_id_2_pl|联 机 男 性 玩 家 角 色 
trp_id_3|联 机 女 性 玩 家 角 色 
trp_id_3_pl|联 机 女 性 玩 家 角 色 
trp_id_4|多 人 游 戏 混 沌 
trp_id_4_pl|多 人 游 戏 混 沌 
trp_id_5|临 时 部 队 
trp_id_5_pl|临 时 部 队 
trp_id_6|寻 找 物 品 作 弊 
trp_id_6_pl|寻 找 物 品 作 弊 
trp_id_7|随 机 城 镇 序 列 
trp_id_7_pl|随 机 城 镇 序 列 
trp_id_8|竞 技 场 选 手 
trp_id_8_pl|竞 技 场 选 手 
trp_id_9|锤 手 
trp_id_9_pl|锤 手 
trp_id_10|弓 箭 手 
trp_id_10_pl|弓 箭 手 
trp_id_11|剑 士 
trp_id_11_pl|剑 士 
trp_id_12|初 级 斗 士 
trp_id_12_pl|初 级 斗 士 
trp_id_13|正 规 斗 士 
trp_id_13_pl|正 规 斗 士 
trp_id_14|资 深 斗 士 
trp_id_14_pl|资 深 斗 士 
trp_id_15|精 英 斗 士 
trp_id_15_pl|精 英 斗 士 
trp_id_16|初 级 斗 士 
trp_id_16_pl|初 级 斗 士 
trp_id_17|初 级 斗 士 
trp_id_17_pl|初 级 斗 士 
trp_id_18|正 规 斗 士 
trp_id_18_pl|正 规 斗 士 
trp_id_19|正 规 斗 士 
trp_id_19_pl|正 规 斗 士 
trp_id_20|正 规 斗 士 
trp_id_20_pl|正 规 斗 士 
trp_id_21|资 深 斗 士 
trp_id_21_pl|资 深 斗 士 
trp_id_22|资 深 斗 士 
trp_id_22_pl|资 深 斗 士 
trp_id_23|资 深 斗 士 
trp_id_23_pl|资 深 斗 士 
trp_id_24|精 英 斗 士 
trp_id_24_pl|精 英 斗 士 
trp_id_25|精 英 斗 士 
trp_id_25_pl|精 英 斗 士 
trp_id_26|牛 
trp_id_26_pl|牛 
trp_id_27|农 民 
trp_id_27_pl|农 民 
trp_id_28|市 民 
trp_id_28_pl|市 民 
trp_id_29|雇 佣 哨 兵 
trp_id_29_pl|雇 佣 哨 兵 
trp_id_30|商 队 护 卫 
trp_id_30_pl|商 队 护 卫 
trp_id_31|灵 蜥 提 奇 · 灰 奇 突 袭 者 
trp_id_31_pl|灵 蜥 提 奇 · 灰 奇 突 袭 者 
trp_id_32|亚 马 逊 族 人 
trp_id_32_pl|亚 马 逊 族 人 
trp_id_33|亚 马 逊 弓 箭 手 
trp_id_33_pl|亚 马 逊 弓 箭 手 
trp_id_34|亚 马 逊 勇 士 
trp_id_34_pl|亚 马 逊 勇 士 
trp_id_35|戈 罗 尔 
trp_id_35_pl|戈 罗 尔 
trp_id_36|艾 里 昂 先 驱 者 
trp_id_36_pl|艾 里 昂 先 驱 者 
trp_id_37|丛 林 哨 兵 
trp_id_37_pl|丛 林 哨 兵 
trp_id_38|雇 佣 半 身 人 民 兵 
trp_id_38_pl|雇 佣 半 身 人 民 兵 
trp_id_39|雇 佣 半 身 人 田 野 守 望 者 
trp_id_39_pl|雇 佣 半 身 人 田 野 守 望 者 
trp_id_40|雇 佣 半 身 人 斥 候 
trp_id_40_pl|雇 佣 半 身 人 斥 候 
trp_id_41|雇 佣 食 人 魔 
trp_id_41_pl|雇 佣 食 人 魔 
trp_id_42|雇 佣 食 人 魔 喷 铅 者 
trp_id_42_pl|雇 佣 食 人 魔 喷 铅 者 
trp_id_43|阿 卡 塔 尼 团 员 
trp_id_43_pl|阿 卡 塔 尼 团 员 
trp_id_44|美 洲 豹 连 队 
trp_id_44_pl|美 洲 豹 连 队 
trp_id_45|布 拉 甘 扎 围 攻 军 
trp_id_45_pl|布 拉 甘 扎 围 攻 军 
trp_id_46|凡 · 克 朗 夫 海 盗 
trp_id_46_pl|凡 · 克 朗 夫 海 盗 
trp_id_47|沃 兰 斯 猎 兵 
trp_id_47_pl|沃 兰 斯 猎 兵 
trp_id_48|穆 卡 塔 尔 沙 漠 之 犬 
trp_id_48_pl|穆 卡 塔 尔 沙 漠 之 犬 
trp_id_49|远 道 杀 戮 者 
trp_id_49_pl|远 道 杀 戮 者 
trp_id_50|雇 佣 食 人 魔 海 盗 
trp_id_50_pl|雇 佣 食 人 魔 海 盗 
trp_id_51|雇 佣 海 盗 食 人 魔 喷 铅 者 
trp_id_51_pl|雇 佣 海 盗 食 人 魔 喷 铅 者 
trp_id_52|沙 漠 强 盗 
trp_id_52_pl|沙 漠 强 盗 
trp_id_53|沙 漠 骗 子 
trp_id_53_pl|沙 漠 骗 子 
trp_id_54|阿 拉 比 盗 贼 
trp_id_54_pl|阿 拉 比 盗 贼 
trp_id_55|精 灵 女 巫 学 徒 
trp_id_55_pl|精 灵 女 巫 学 徒 
trp_id_56|精 灵 女 巫 
trp_id_56_pl|精 灵 女 巫 
trp_id_57|精 灵 巫 婆 
trp_id_57_pl|精 灵 巫 婆 
trp_id_58|雇 佣 暗 黑 食 人 魔 
trp_id_58_pl|雇 佣 暗 黑 食 人 魔 
trp_id_59|雇 佣 暗 黑 食 人 魔 喷 铅 者 
trp_id_59_pl|雇 佣 暗 黑 食 人 魔 喷 铅 者 
trp_id_60|曼 吉 尔 的 剥 皮 者 
trp_id_60_pl|曼 吉 尔 的 剥 皮 者 
trp_id_61|于 斯 罗 熊 人 
trp_id_61_pl|于 斯 罗 熊 人 
trp_id_62|雇 佣 掠 夺 者 骑 兵 
trp_id_62_pl|雇 佣 掠 夺 者 骑 兵 
trp_id_63|雇 佣 掠 夺 者 冠 军 骑 兵 
trp_id_63_pl|雇 佣 掠 夺 者 冠 军 骑 兵 
trp_id_64|雇 佣 掠 夺 者 头 目 
trp_id_64_pl|雇 佣 掠 夺 者 头 目 
trp_id_65|雇 佣 大 地 精 勇 士 
trp_id_65_pl|雇 佣 大 地 精 勇 士 
trp_id_66|雇 佣 大 地 精 
trp_id_66_pl|雇 佣 大 地 精 
trp_id_67|雇 佣 大 地 精 狼 骑 兵 
trp_id_67_pl|雇 佣 大 地 精 狼 骑 兵 
trp_id_68|雇 佣 混 沌 女 猎 手 
trp_id_68_pl|雇 佣 混 沌 女 猎 手 
trp_id_69|雇 佣 混 沌 资 深 女 猎 手 
trp_id_69_pl|雇 佣 混 沌 资 深 女 猎 手 
trp_id_70|雇 佣 混 沌 女 猎 手 首 领 
trp_id_70_pl|雇 佣 混 沌 女 猎 手 首 领 
trp_id_71|雇 佣 混 沌 食 人 魔 
trp_id_71_pl|雇 佣 混 沌 食 人 魔 
trp_id_72|食 人 魔 贪 食 者 
trp_id_72_pl|食 人 魔 贪 食 者 
trp_id_73|雇 佣 混 沌 巨 魔 
trp_id_73_pl|雇 佣 混 沌 巨 魔 
trp_id_74|雇 佣 蛮 荒 兽 人 
trp_id_74_pl|雇 佣 蛮 荒 兽 人 
trp_id_75|雇 佣 蛮 荒 兽 人 狂 战 士 
trp_id_75_pl|雇 佣 蛮 荒 兽 人 狂 战 士 
trp_id_76|雇 佣 蛮 荒 兽 人 碎 骨 者 
trp_id_76_pl|雇 佣 蛮 荒 兽 人 碎 骨 者 
trp_id_77|雇 佣 野 蛮 食 人 魔 
trp_id_77_pl|雇 佣 野 蛮 食 人 魔 
trp_id_78|雇 佣 野 蛮 食 人 魔 喷 铅 者 
trp_id_78_pl|雇 佣 野 蛮 食 人 魔 喷 铅 者 
trp_id_79|雇 佣 地 精 部 落 新 兵 
trp_id_79_pl|雇 佣 地 精 部 落 新 兵 
trp_id_80|雇 佣 地 精 勇 士 
trp_id_80_pl|雇 佣 地 精 勇 士 
trp_id_81|雇 佣 地 精 资 深 勇 士 
trp_id_81_pl|雇 佣 地 精 资 深 勇 士 
trp_id_82|武 装 暴 徒 
trp_id_82_pl|武 装 暴 徒 
trp_id_83|忍 者 
trp_id_83_pl|忍 者 
trp_id_84|腥 红 之 月 
trp_id_84_pl|腥 红 之 月 
trp_id_85|僵 尸 海 盗 佣 兵 
trp_id_85_pl|僵 尸 海 盗 佣 兵 
trp_id_86|亡 灵 海 盗 佣 兵 
trp_id_86_pl|亡 灵 海 盗 佣 兵 
trp_id_87|亡 灵 海 盗 船 长 
trp_id_87_pl|亡 灵 海 盗 船 长 
trp_id_88|雇 佣 骷 髅 弓 手 
trp_id_88_pl|雇 佣 骷 髅 弓 手 
trp_id_89|雇 佣 骷 髅 勇 士 
trp_id_89_pl|雇 佣 骷 髅 勇 士 
trp_id_90|雇 佣 骷 髅 骑 兵 
